"";"id";"dataReferencia";"valor";"quantidadeBeneficiados";"municipio.codigoIBGE";"municipio.nomeRegiao";"municipio.uf.nome";"nome_munic"
"143";105101520;"2020-11-01";1968741;5580;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"144";113601727;"2020-12-01";1868419;5534;"2901353";"NORDESTE";"BAHIA";"Andorinha"
"145";110701457;"2020-04-01";3832200;5518;"2901403";"NORDESTE";"BAHIA";"Angical"
"146";111501646;"2020-05-01";3992400;5697;"2901403";"NORDESTE";"BAHIA";"Angical"
"147";105901730;"2020-06-01";3250200;4600;"2901403";"NORDESTE";"BAHIA";"Angical"
"148";100801739;"2020-07-01";3960000;5714;"2901403";"NORDESTE";"BAHIA";"Angical"
"149";105801625;"2020-08-01";3744600;5366;"2901403";"NORDESTE";"BAHIA";"Angical"
"150";113201761;"2020-09-01";1795571;5022;"2901403";"NORDESTE";"BAHIA";"Angical"
"151";114901818;"2020-10-01";1237328;4724;"2901403";"NORDESTE";"BAHIA";"Angical"
"152";109501771;"2020-11-01";1511462;4808;"2901403";"NORDESTE";"BAHIA";"Angical"
"153";107601861;"2020-12-01";1454630;4753;"2901403";"NORDESTE";"BAHIA";"Angical"
"154";110701475;"2020-04-01";2500800;3299;"2901502";"NORDESTE";"BAHIA";"Anguera"
"155";104801641;"2020-05-01";2656200;3488;"2901502";"NORDESTE";"BAHIA";"Anguera"
"156";101301720;"2020-06-01";2113200;2680;"2901502";"NORDESTE";"BAHIA";"Anguera"
"157";105401755;"2020-07-01";2603400;3484;"2901502";"NORDESTE";"BAHIA";"Anguera"
"158";107801737;"2020-08-01";2422200;3207;"2901502";"NORDESTE";"BAHIA";"Anguera"
"159";109201803;"2020-09-01";1334573;3165;"2901502";"NORDESTE";"BAHIA";"Anguera"
"160";114501820;"2020-10-01";949297;2986;"2901502";"NORDESTE";"BAHIA";"Anguera"
"161";109001895;"2020-11-01";1173430;3077;"2901502";"NORDESTE";"BAHIA";"Anguera"
"162";112901861;"2020-12-01";1106075;3049;"2901502";"NORDESTE";"BAHIA";"Anguera"
"163";101901521;"2020-04-01";3184800;4646;"2901601";"NORDESTE";"BAHIA";"Antas"
"164";112701568;"2020-05-01";3362400;4861;"2901601";"NORDESTE";"BAHIA";"Antas"
"165";111001722;"2020-06-01";2707200;3890;"2901601";"NORDESTE";"BAHIA";"Antas"
"166";104901633;"2020-07-01";3370200;4926;"2901601";"NORDESTE";"BAHIA";"Antas"
"167";113901662;"2020-08-01";3141000;4568;"2901601";"NORDESTE";"BAHIA";"Antas"
"168";104001722;"2020-09-01";1755784;4619;"2901601";"NORDESTE";"BAHIA";"Antas"
"169";102201827;"2020-10-01";1274116;4382;"2901601";"NORDESTE";"BAHIA";"Antas"
"170";102901864;"2020-11-01";1559081;4506;"2901601";"NORDESTE";"BAHIA";"Antas"
"171";109501807;"2020-12-01";1498531;4487;"2901601";"NORDESTE";"BAHIA";"Antas"
"172";114601673;"2020-04-01";3331200;4407;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"173";113601738;"2020-05-01";3445800;4547;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"174";103001619;"2020-06-01";2888400;3714;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"175";112401889;"2020-07-01";3450000;4578;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"176";108301657;"2020-08-01";3254400;4281;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"177";113701806;"2020-09-01";1560419;4196;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"178";111501934;"2020-10-01";1152640;4024;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"179";100801993;"2020-11-01";1361861;4043;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"180";106601716;"2020-12-01";1280871;3978;"2901700";"NORDESTE";"BAHIA";"Antônio Cardoso"
"181";103301653;"2020-04-01";2916600;4218;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"182";113901672;"2020-05-01";3041400;4371;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"183";114801754;"2020-06-01";2461200;3481;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"184";105701937;"2020-07-01";3001800;4320;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"185";112401969;"2020-08-01";2765400;3963;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"186";101201860;"2020-09-01";1414793;3887;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"187";107801920;"2020-10-01";988050;3685;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"188";108101696;"2020-11-01";1221187;3767;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"189";102901628;"2020-12-01";1157880;3722;"2901809";"NORDESTE";"BAHIA";"Antônio Gonçalves"
"190";103401592;"2020-04-01";4487400;6544;"2901908";"NORDESTE";"BAHIA";"Aporá"
"191";101401765;"2020-05-01";4743600;6865;"2901908";"NORDESTE";"BAHIA";"Aporá"
"192";108401707;"2020-06-01";3943200;5665;"2901908";"NORDESTE";"BAHIA";"Aporá"
"193";106201797;"2020-07-01";4843800;7063;"2901908";"NORDESTE";"BAHIA";"Aporá"
"194";103101903;"2020-08-01";4530000;6600;"2901908";"NORDESTE";"BAHIA";"Aporá"
"195";107901962;"2020-09-01";2350334;6299;"2901908";"NORDESTE";"BAHIA";"Aporá"
"196";110901854;"2020-10-01";1718554;6011;"2901908";"NORDESTE";"BAHIA";"Aporá"
"197";113001602;"2020-11-01";2087084;6155;"2901908";"NORDESTE";"BAHIA";"Aporá"
"198";109301593;"2020-12-01";1951724;6101;"2901908";"NORDESTE";"BAHIA";"Aporá"
"199";111701671;"2020-04-01";2082600;3023;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"200";110001738;"2020-05-01";2167800;3126;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"201";111701746;"2020-06-01";1752600;2511;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"202";107701810;"2020-07-01";2190000;3175;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"203";102301785;"2020-08-01";2025600;2932;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"204";103601889;"2020-09-01";1031292;2921;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"205";103601907;"2020-10-01";724500;2807;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"206";107301895;"2020-11-01";893461;2867;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"207";102501509;"2020-12-01";852477;2841;"2901957";"NORDESTE";"BAHIA";"Apuarema"
"208";106301695;"2020-04-01";3597600;5630;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"209";104801871;"2020-05-01";3701400;5753;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"210";105801731;"2020-06-01";2960400;4596;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"211";113701859;"2020-07-01";3714600;5796;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"212";106701716;"2020-08-01";3452400;5395;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"213";110701449;"2020-09-01";1865427;5371;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"214";112501503;"2020-10-01";1304542;5086;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"215";109201672;"2020-11-01";1574129;5139;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"216";111501740;"2020-12-01";1518478;5106;"2902005";"NORDESTE";"BAHIA";"Aracatu"
"217";110601535;"2020-04-01";3568800;4711;"2902054";"NORDESTE";"BAHIA";"Araças"
"218";104501736;"2020-05-01";3799800;4993;"2902054";"NORDESTE";"BAHIA";"Araças"
"219";112601612;"2020-06-01";2923800;3754;"2902054";"NORDESTE";"BAHIA";"Araças"
"220";109101713;"2020-07-01";3700200;4919;"2902054";"NORDESTE";"BAHIA";"Araças"
"221";104401574;"2020-08-01";3355200;4447;"2902054";"NORDESTE";"BAHIA";"Araças"
"222";107901850;"2020-09-01";1923314;4399;"2902054";"NORDESTE";"BAHIA";"Araças"
"223";101201777;"2020-10-01";1343066;4133;"2902054";"NORDESTE";"BAHIA";"Araças"
"224";104401625;"2020-11-01";1624042;4218;"2902054";"NORDESTE";"BAHIA";"Araças"
"225";110701795;"2020-12-01";1563312;4158;"2902054";"NORDESTE";"BAHIA";"Araças"
"226";101501793;"2020-04-01";13996200;20031;"2902104";"NORDESTE";"BAHIA";"Araci"
"227";102001612;"2020-05-01";14616000;20834;"2902104";"NORDESTE";"BAHIA";"Araci"
"228";106701657;"2020-06-01";11907000;16686;"2902104";"NORDESTE";"BAHIA";"Araci"
"229";114201880;"2020-07-01";14655000;20998;"2902104";"NORDESTE";"BAHIA";"Araci"
"230";112001875;"2020-08-01";13662000;19498;"2902104";"NORDESTE";"BAHIA";"Araci"
"231";114001506;"2020-09-01";7684803;19869;"2902104";"NORDESTE";"BAHIA";"Araci"
"232";111801698;"2020-10-01";5648781;19079;"2902104";"NORDESTE";"BAHIA";"Araci"
"233";108501585;"2020-11-01";6850916;19562;"2902104";"NORDESTE";"BAHIA";"Araci"
"234";114601681;"2020-12-01";6596498;19443;"2902104";"NORDESTE";"BAHIA";"Araci"
"235";114701823;"2020-04-01";2892600;3983;"2902203";"NORDESTE";"BAHIA";"Aramari"
"236";115001761;"2020-05-01";3040200;4172;"2902203";"NORDESTE";"BAHIA";"Aramari"
"237";111301737;"2020-06-01";2396400;3225;"2902203";"NORDESTE";"BAHIA";"Aramari"
"238";111201604;"2020-07-01";3032400;4192;"2902203";"NORDESTE";"BAHIA";"Aramari"
"239";107501555;"2020-08-01";2799600;3848;"2902203";"NORDESTE";"BAHIA";"Aramari"
"240";109101610;"2020-09-01";1576678;3860;"2902203";"NORDESTE";"BAHIA";"Aramari"
"241";104701710;"2020-10-01";1112452;3658;"2902203";"NORDESTE";"BAHIA";"Aramari"
"242";107301745;"2020-11-01";1358135;3728;"2902203";"NORDESTE";"BAHIA";"Aramari"
"243";114401740;"2020-12-01";1301809;3651;"2902203";"NORDESTE";"BAHIA";"Aramari"
"244";113101783;"2020-04-01";2457600;3383;"2902252";"NORDESTE";"BAHIA";"Arataca"
"245";112101763;"2020-05-01";2542200;3489;"2902252";"NORDESTE";"BAHIA";"Arataca"
"246";110801903;"2020-06-01";2124600;2879;"2902252";"NORDESTE";"BAHIA";"Arataca"
"247";101302008;"2020-07-01";2597400;3559;"2902252";"NORDESTE";"BAHIA";"Arataca"
"248";108201595;"2020-08-01";2410800;3324;"2902252";"NORDESTE";"BAHIA";"Arataca"
"249";105801520;"2020-09-01";1105098;2997;"2902252";"NORDESTE";"BAHIA";"Arataca"
"250";113401732;"2020-10-01";787622;2864;"2902252";"NORDESTE";"BAHIA";"Arataca"
"251";107301703;"2020-11-01";940043;2909;"2902252";"NORDESTE";"BAHIA";"Arataca"
"252";110401653;"2020-12-01";913897;2870;"2902252";"NORDESTE";"BAHIA";"Arataca"
"253";110101829;"2020-04-01";2740800;3890;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"254";103101913;"2020-05-01";2925600;4142;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"255";111701958;"2020-06-01";2381400;3340;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"256";106301470;"2020-07-01";2892600;4127;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"257";114901611;"2020-08-01";2728800;3880;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"258";108201682;"2020-09-01";1341001;3655;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"259";101401699;"2020-10-01";961722;3456;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"260";107701759;"2020-11-01";1135424;3472;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"261";107201704;"2020-12-01";1099221;3427;"2902302";"NORDESTE";"BAHIA";"Aratuípe"
"262";112701844;"2020-04-01";3696600;4961;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"263";109801897;"2020-05-01";3907200;5224;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"264";113801511;"2020-06-01";3123000;4068;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"265";106501709;"2020-07-01";3919800;5291;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"266";106301601;"2020-08-01";3653400;4892;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"267";103501680;"2020-09-01";1887481;4745;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"268";104501817;"2020-10-01";1293550;4457;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"269";114101683;"2020-11-01";1581878;4540;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"270";107901889;"2020-12-01";1527362;4502;"2902401";"NORDESTE";"BAHIA";"Aurelino Leal"
"271";108201624;"2020-04-01";3634800;5393;"2902500";"NORDESTE";"BAHIA";"Baianópolis"
